siparis_id,musteri_id,siparis_tarihi,sehir,musteri_kidem_ayi,kategori,birim_fiyat,adet,indirim_orani,kampanya,odeme_yontemi,cihaz,kargo_gunu,iade_edildi,memnuniyet_puani,siparis_tutari
S001337,M0012,2025-12-26,İstanbul,20,Elektronik,5070.49,3.0,0.0,Yok,Kredi Kartı,Mobil,3.0,Hayır,4.0,15211.47
S000257,M0222,2025-06-10,İstanbul,12,Kitap,170.16,3.0,0.15,Hafta Sonu,Banka Kartı,Masaüstü,4.0,Hayır,4.0,433.91
S000889,M0116,2025-12-20,Elazığ,21,Kozmetik,256.64,2.0,0.1,Hafta Sonu,Kredi Kartı,Mobil,6.0,Evet,2.0,461.95
S001098,M0316,2025-07-06,Elazığ,2,Spor,749.4,1.0,0.15,Sepette İndirim,Kredi Kartı,Mobil,3.0,Hayır,4.0,636.99
S000205,M0191,2025-08-17,Bursa,48,Giyim,774.81,1.0,0.1,Hafta Sonu,Banka Kartı,Masaüstü,2.0,Hayır,5.0,697.33
S000828,M0309,2025-12-03,İzmir,18,Kitap,385.49,1.0,0.1,Sepette İndirim,Kredi Kartı,Masaüstü,2.0,Hayır,4.0,346.94
S000429,M0048,2025-02-22,Ankara,40,Kitap,93.92,5.0,0.15,Yeni Üye,Kredi Kartı,Tablet,1.0,Hayır,4.0,399.16
S001380,M0309,2025-10-20,İzmir,18,Kitap,135.78,2.0,0.25,Özel Gün,Kredi Kartı,Mobil,4.0,Hayır,5.0,203.67
S000740,M0122,2025-03-21,Elazığ,23,Giyim,1267.34,2.0,0.0,Yok,Kredi Kartı,Tablet,3.0,Hayır,3.0,2534.68
S000093,M0153,2025-01-04,Bursa,41,Spor,741.13,1.0,0.1,Sepette İndirim,Kredi Kartı,Mobil,3.0,Evet,,667.02
S001325,M0286,2025-03-16,Ankara,22,Spor,355.21,1.0,0.25,Özel Gün,Kredi Kartı,Masaüstü,4.0,Hayır,4.0,266.41
S000916,M0176,2025-10-21,Malatya,24,Kitap,172.54,2.0,0.0,Yok,Kredi Kartı,Mobil,2.0,Hayır,3.0,345.08
S000043,M0147,2025-01-30,İstanbul,44,Kozmetik,591.65,1.0,0.0,Yok,Havale/EFT,Mobil,4.0,Hayır,5.0,591.65
S000141,M0282,2025-02-24,Malatya,39,Giyim,709.25,1.0,0.0,Yok,Banka Kartı,Mobil,4.0,Hayır,5.0,709.25
S001075,M0263,2025-03-21,Malatya,20,Elektronik,13663.19,2.0,0.0,Yok,Banka Kartı,Masaüstü,3.0,Hayır,5.0,27326.38
S000954,M0309,2025-12-09,İzmir,18,Giyim,472.53,4.0,0.0,Yok,Kredi Kartı,Mobil,2.0,Hayır,4.0,1890.12
S001263,M0017,2025-10-18,Malatya,35,Kitap,183.3,3.0,0.05,Hafta Sonu,Kredi Kartı,Mobil,11.0,Hayır,4.0,522.41
S000174,M0045,2025-02-02,Ankara,38,Kitap,142.34,1.0,0.2,Sepette İndirim,Kredi Kartı,Mobil,2.0,Hayır,5.0,113.87
S000899,M0041,2025-02-06,Ankara,37,Giyim,265.45,2.0,0.1,Hafta Sonu,Banka Kartı,Mobil,4.0,Hayır,4.0,477.81
S001312,M0191,2025-12-09,Bursa,48,Kitap,138.77,1.0,0.15,Sepette İndirim,Kredi Kartı,Mobil,1.0,Hayır,4.0,117.95
S000703,M0012,2025-08-09,İstanbul,20,Giyim,718.59,1.0,0.1,Hafta Sonu,Kredi Kartı,Masaüstü,3.0,Hayır,5.0,646.73
S000967,M0136,2025-12-11,İstanbul,25,Giyim,410.12,2.0,0.1,Sepette İndirim,Kredi Kartı,Mobil,5.0,Hayır,3.0,738.22
S001345,M0281,2025-01-21,İzmir,6,Elektronik,4037.88,4.0,0.0,Yok,,Tablet,2.0,Hayır,4.0,16151.52
S000262,M0290,2025-11-22,Ankara,25,Kozmetik,1373.58,1.0,0.0,Yok,Banka Kartı,Mobil,2.0,Hayır,4.0,1373.58
S000517,M0309,2025-10-29,İzmir,18,Spor,855.26,2.0,0.1,Sepette İndirim,Kredi Kartı,Mobil,3.0,Hayır,5.0,1539.47
S000328,M0160,2025-03-26,Ankara,46,Kitap,194.23,1.0,0.1,Yeni Üye,Havale/EFT,Mobil,5.0,Hayır,4.0,174.81
S000556,M0170,2025-11-06,Ankara,43,Elektronik,3204.22,2.0,0.2,Sepette İndirim,Kredi Kartı,Mobil,4.0,Hayır,5.0,5126.75
S000037,M0309,2025-09-12,İzmir,18,Elektronik,3095.31,1.0,0.0,Yok,Kredi Kartı,Masaüstü,6.0,Hayır,5.0,3095.31
S001031,M0275,2025-08-22,İzmir,32,Elektronik,9437.04,1.0,0.0,Yok,Havale/EFT,Mobil,4.0,Hayır,5.0,9437.04
S000756,M0198,2025-06-26,Bursa,22,Kozmetik,1263.81,2.0,0.1,Yeni Üye,Banka Kartı,Tablet,1.0,Hayır,4.0,2274.86
S000589,M0130,2025-02-21,İstanbul,36,Elektronik,5491.5,1.0,0.1,Sepette İndirim,Kredi Kartı,Masaüstü,3.0,Hayır,4.0,4942.35
S000909,M0184,2025-05-02,İstanbul,25,Kitap,111.76,3.0,0.25,Sepette İndirim,Kredi Kartı,Tablet,2.0,Hayır,4.0,251.46
S000371,M0052,2025-06-03,Bursa,31,Giyim,427.31,3.0,0.0,Yok,Kredi Kartı,Mobil,2.0,Hayır,4.0,1281.93
S000181,M0075,2025-09-25,İstanbul,39,Elektronik,13774.88,1.0,0.0,Yok,Havale/EFT,Masaüstü,4.0,Hayır,5.0,13649.88
S000162,M0309,2025-09-27,İzmir,18,Kozmetik,400.85,-2.0,0.2,Sepette İndirim,Havale/EFT,Mobil,4.0,Hayır,5.0,320.68
S001229,M0171,2025-04-15,İstanbul,9,Ev & Yaşam,683.09,3.0,0.05,Yok,Kredi Kartı,Mobil,7.0,Hayır,5.0,1946.81
S000911,M0306,2025-12-09,Ankara,25,Spor,815.0,1.0,0.1,Hafta Sonu,Kredi Kartı,Mobil,3.0,Hayır,4.0,733.5
S000495,M0245,2025-04-20,İstanbul,10,Giyim,357.65,1.0,0.2,Özel Gün,Kredi Kartı,Mobil,2.0,Hayır,5.0,286.12
S000840,M0298,2025-04-04,Elazığ,35,Elektronik,7859.83,1.0,0.15,Sepette İndirim,Kredi Kartı,Masaüstü,4.0,Hayır,5.0,6680.86
S000400,M0309,2025-01-05,İzmir,18,Giyim,1092.71,1.0,0.2,Sepette İndirim,Havale/EFT,Masaüstü,2.0,Hayır,4.0,874.17
S000898,M0309,2025-10-08,İzmir,18,Spor,2636.05,1.0,0.3,Özel Gün,Kredi Kartı,Masaüstü,5.0,Hayır,4.0,1845.24
S000029,M0026,2025-06-04,İstanbul,7,Kitap,148.73,3.0,0.2,Sepette İndirim,Kredi Kartı,Mobil,4.0,Hayır,5.0,356.95
S000515,M0309,2025-05-07,İzmir,18,Giyim,1112.74,2.0,0.0,Yok,Kredi Kartı,Masaüstü,1.0,Hayır,,2225.48
S000286,M0149,2025-01-01,İstanbul,40,Kitap,222.77,6.0,0.1,Sepette İndirim,Kredi Kartı,Mobil,6.0,Hayır,3.0,1202.96
S001300,M0309,2025-10-25,İzmir,18,Ev & Yaşam,369.19,3.0,0.0,Yok,Banka Kartı,Mobil,4.0,Hayır,5.0,1107.57
S001219,M0163,2025-06-23,Elazığ,38,Spor,706.42,1.0,0.15,Sepette İndirim,Kredi Kartı,Mobil,8.0,Hayır,3.0,600.46
S000287,M0022,2025-05-21,İstanbul,30,Ev & Yaşam,1744.71,1.0,0.0,Yok,Banka Kartı,Mobil,1.0,Hayır,4.0,1744.71
S001242,M0133,2025-03-04,Ankara,25,Kozmetik,312.17,2.0,0.2,Sepette İndirim,Kredi Kartı,Mobil,3.0,Hayır,3.0,499.47
S000410,M0134,2025-07-13,Ankara,30,Kozmetik,549.28,1.0,0.0,Yok,Kredi Kartı,Masaüstü,3.0,Hayır,5.0,549.28
S000776,M0268,2025-07-18,Ankara,25,Kozmetik,176.06,1.0,0.05,Yok,Kredi Kartı,Masaüstü,2.0,Hayır,4.0,167.26
S000364,M0081,2025-12-02,Ankara,26,Kozmetik,209.34,1.0,,Yok,Banka Kartı,Mobil,4.0,Hayır,4.0,209.34
